_id,mk_individual_id,mk_status_id,mk_individual_name,mk_individual_name_eng,mk_individual_first_name,mk_individual_first_name_eng,mk_individual_email,mk_individual_photo,PersonID,LastName,FirstName,GenderID,GenderDesc,Email,IsCurrent,LastUpdatedDate,altnames
1,1,1,אדלשטיין,Edelstein,יולי יואל,Yuli-Yoel,yedelstein@KNESSET.GOV.IL,https://oknesset.org/static/img/Male_portrait_placeholder_cropped.jpg,532,אדלשטיין,יולי יואל,251,זכר,yedelstein@knesset.gov.il,TRUE,3/12/2020 12:45,"[""יולי (יואל) אדלשטיין"" ,""יולי-יואל אדלשטיין"" ,""יולי אדלשטיין"" ,""יולי יואל אדלשטיין"", ""יואל יולי אדלשטיין"", ""יולי - יואל אדלשטיין"", ""יולי אדלשטין"", ""יואל אדלשטיין"", ""יואל אדלשטין""]"
2,2,,אדרי,Edery,רפאל,Raphael,,https://oknesset.org/static/img/Male_portrait_placeholder_cropped.jpg,2128,אדרי,רפאל,251,זכר,,FALSE,3/20/2015 12:03,"[""רפאל אדרי""]"
3,3,,אולמרט,Olmert,אהוד,Ehud,,https://oknesset.org/static/img/Male_portrait_placeholder_cropped.jpg,1064,אולמרט,אהוד,251,זכר,,FALSE,1/14/2020 15:31,"[""אהוד אולמרט""]"
4,4,,אור,Orr,אורי,Ori,,https://oknesset.org/static/img/Male_portrait_placeholder_cropped.jpg,2132,אור,אורי,251,זכר,,FALSE,3/20/2015 12:03,"[""אורי אור""]"
5,5,,אורון,Oron,חיים,Chaim,,https://oknesset.org/static/img/Male_portrait_placeholder_cropped.jpg,1065,אורון,חיים,251,זכר,,FALSE,3/20/2015 12:03,"[""חיים אורון""]"
6,6,,אושעיה,Oshaya,אפי,Efi,,https://oknesset.org/static/img/Male_portrait_placeholder_cropped.jpg,432,אושעיה,אפי,251,זכר,,FALSE,3/11/2019 10:30,"[""אפי אושעיה""]"
7,7,,אזולאי,Azoulay,דוד,David,,https://oknesset.org/static/img/Male_portrait_placeholder_cropped.jpg,483,אזולאי,דוד,251,זכר,,FALSE,10/31/2018 9:01,"[""דויד אזולי"", ""דויד אזולאי"", ""דוד אזולאי"", ""דוד אזולי""]"
8,8,,איציק,Itzik,דליה,Dalia,,https://oknesset.org/static/img/Female_portrait_placeholder_cropped.jpg,433,איציק,דליה,250,נקבה,,FALSE,3/20/2015 12:03,"[""דליה איציק""]"
9,9,,איתן,Eitan,מיכאל,Michael,,https://oknesset.org/static/img/Male_portrait_placeholder_cropped.jpg,462,איתן,מיכאל,251,זכר,,FALSE,5/27/2015 13:22,"[""מיקי איתן"" ,""מיכאל איתן""]"
10,10,,איתן,Eitan,רפאל,Rafael,,https://oknesset.org/static/img/Male_portrait_placeholder_cropped.jpg,2138,איתן,רפאל,251,זכר,,FALSE,3/20/2015 12:03,"[""רפאל איתן""]"
11,11,,אלול,Elul,רפאל,Rafi,,https://oknesset.org/static/img/Male_portrait_placeholder_cropped.jpg,2141,אלול,רפאל,251,זכר,,FALSE,3/20/2015 12:03,"[""רפאל אלול""]"
12,12,,אלון,Elon,בנימין,Benyamin,,https://oknesset.org/static/img/Male_portrait_placeholder_cropped.jpg,405,אלון,בנימין,251,זכר,,FALSE,3/20/2015 12:03,"[""בני אלון"" ,""בנימין אלון""]"
13,13,,אלסאנע,El-Sana,טלב,Talab,,https://oknesset.org/static/img/Male_portrait_placeholder_cropped.jpg,549,אלסאנע,טלב,251,זכר,,FALSE,3/20/2015 12:03,"[""טלב אלסאנע""]"
14,14,,בגין,Begin,זאב בנימין ,Ze`ev Binyamin,,https://oknesset.org/static/img/Male_portrait_placeholder_cropped.jpg,2178,בגין,זאב בנימין,251,זכר,,FALSE,5/14/2019 11:04,"[""זאב בנימין בגין"", ""בינימין בגין"", ""בנימין בגין""]"
15,15,,בדש,Badash,פיני,Pini,,https://oknesset.org/static/img/Male_portrait_placeholder_cropped.jpg,2183,בדש,פיני,251,זכר,,FALSE,3/20/2015 12:03,"[""פיני בדש""]"
16,16,,בוים,Boim,זאב,Ze`ev,,https://oknesset.org/static/img/Male_portrait_placeholder_cropped.jpg,464,בוים,זאב,251,זכר,,FALSE,3/20/2015 12:03,"[""זאב בוים""]"
17,17,,ביבי,Bibi,יגאל,Yigal,,https://oknesset.org/static/img/Male_portrait_placeholder_cropped.jpg,522,ביבי,יגאל,251,זכר,,FALSE,3/20/2015 12:03,"[""יגאל ביבי""]"
18,18,,ביילין,Beilin,יוסי,Yossi,,https://oknesset.org/static/img/Male_portrait_placeholder_cropped.jpg,2192,ביילין,יוסי,251,זכר,יוסי ביילין,TRUE,3/20/2015 12:03,"[""יוסי ביילין""]"
19,19,,בלומנטל,Blumenthal,נעמי,Naomi,,https://oknesset.org/static/img/Female_portrait_placeholder_cropped.jpg,465,בלומנטל,נעמי,250,נקבה,,FALSE,3/20/2015 12:03,"[""נעמי בלומנטל""]"
20,20,,בן-אליעזר,Ben-Eliezer,בנימין (פואד),Binyamin (Fouad),,https://oknesset.org/static/img/Male_portrait_placeholder_cropped.jpg,435,בן-אליעזר,בנימין,251,זכר,,FALSE,3/20/2015 12:03,"[""בנימין (פואד) בן-אליעזר"", ""בנימין בן-אליעזר""]"
21,21,,בן-אלישר,Ben Elissar,אליהו,Eliahu,,https://oknesset.org/static/img/Male_portrait_placeholder_cropped.jpg,2196,בן-אלישר,אליהו,251,זכר,,FALSE,3/20/2015 12:03,"[""אליהו בן-אלישר""]"
22,22,,בן-מנחם,Ben-Menachem,אלי,Eli,,https://oknesset.org/static/img/Male_portrait_placeholder_cropped.jpg,437,בן-מנחם,אלי,251,זכר,,FALSE,3/20/2015 12:03,"[""אלי בן מנחם"" ,""אליהו בן-מנחם"" ,""אלי בן-מנחם""]"
23,23,,בן-עמי,Ben-Ami,שלמה,Shlomo,,https://oknesset.org/static/img/Male_portrait_placeholder_cropped.jpg,439,בן-עמי,שלמה,251,זכר,,FALSE,3/20/2015 12:03,"[""שלמה בן-עמי""]"
24,24,,בן-צור,Ben-Zur,שמריהו,Shmaryahu,,https://oknesset.org/static/img/Male_portrait_placeholder_cropped.jpg,2208,בן-צור,שמריהו,251,זכר,,FALSE,3/20/2015 12:03,"[""שמריהו בן-צור""]"
25,25,,בניזרי,Benizri,שלמה,Shlomo,,https://oknesset.org/static/img/Male_portrait_placeholder_cropped.jpg,484,בניזרי,שלמה,251,זכר,,FALSE,3/20/2015 12:03,"[""שלמה בניזרי""]"
26,26,,ברונפמן,Bronfman,רומן,Roman,,https://oknesset.org/static/img/Male_portrait_placeholder_cropped.jpg,552,ברונפמן,רומן,251,זכר,,FALSE,3/20/2015 12:03,"[""רומן ברונפמן""]"
27,27,,ברעם,Baram,עוזי,Uzi,,https://oknesset.org/static/img/Male_portrait_placeholder_cropped.jpg,861,ברעם,עוזי,251,זכר,,FALSE,3/20/2015 12:03,"[""עוזי ברעם""]"
28,28,,ברק,Barak,אהוד,Ehud,,https://oknesset.org/static/img/Male_portrait_placeholder_cropped.jpg,2226,ברק,אהוד,251,זכר,,FALSE,3/20/2015 12:03,"[""אהוד ברק""]"
29,29,,בשארה,Bishara,עזמי,Azmi,,https://oknesset.org/static/img/Male_portrait_placeholder_cropped.jpg,558,בשארה,עזמי,251,זכר,,FALSE,3/20/2015 12:03,"[""עזמי בשארה""]"
30,30,,גבאי,Gabbay,אליהו,Eliahu,,https://oknesset.org/static/img/Male_portrait_placeholder_cropped.jpg,2232,גבאי,אליהו,251,זכר,,FALSE,3/20/2015 12:03,"[""אליהו גבאי""]"
31,31,,גוז`נסקי,Gozansky,תמר,Tamar,,https://oknesset.org/static/img/Female_portrait_placeholder_cropped.jpg,541,גוז'נסקי,תמר,250,נקבה,,FALSE,3/20/2015 12:03,"[""תמר גוז`נסקי"", ""תמר גוז'נסקי""]"
32,32,,גולדמן,Goldman,מיכה,Micha,,https://oknesset.org/static/img/Male_portrait_placeholder_cropped.jpg,2238,גולדמן,מיכה,251,זכר,,FALSE,3/20/2015 12:03,"[""מיכה גולדמן""]"
33,33,,גולדשמידט,Goldschmidt,אלי,Elie,,https://oknesset.org/static/img/Male_portrait_placeholder_cropped.jpg,860,גולדשמידט,אלי,251,זכר,,FALSE,3/20/2015 12:03,"[""אלי גולדשמידט""]"
34,34,,גמליאל,Gamliel,אריה,Arieh,,https://oknesset.org/static/img/Male_portrait_placeholder_cropped.jpg,486,גמליאל,אריה,251,זכר,,FALSE,3/20/2015 12:03,"[""אריה גמליאל""]"
35,35,1,גפני,Gafni,משה,Moshe,mgafni@KNESSET.GOV.IL,https://oknesset.org/static/img/Male_portrait_placeholder_cropped.jpg,526,גפני,משה,251,זכר,mgafni@knesset.gov.il,TRUE,3/12/2020 12:45,"[""רפאל משה גפני"", ""משה גפני""]"
36,36,,דהאמשה,Dehamshe,עבד-אלמאלכ,Abdulmalik,,https://oknesset.org/static/img/Male_portrait_placeholder_cropped.jpg,550,דהאמשה,עבד-אלמאלכ,251,זכר,,FALSE,3/20/2015 12:03,"[""עבד אלמלכ דהאמשה"" ,""עבד אלמאלכ דהאמשה"" , ""עבד-אלמאלכ דהאמשה""]"
37,37,,דהן,Dahan,נסים,Nissim,,https://oknesset.org/static/img/Male_portrait_placeholder_cropped.jpg,487,דהן,נסים,251,זכר,,FALSE,3/20/2015 12:03,"[""נסים דהן""]"
38,38,,דיין,Dayan,חיים,Haim,,https://oknesset.org/static/img/Male_portrait_placeholder_cropped.jpg,2276,דיין,חיים,251,זכר,,FALSE,3/20/2015 12:03,"[""חיים דיין""]"
39,39,,דיין,Dayan,יעל,Yael,,https://oknesset.org/static/img/Female_portrait_placeholder_cropped.jpg,441,דיין,יעל,250,נקבה,,FALSE,3/20/2015 12:03,"[""יעל דיין""]"
40,40,,דראושה,Darawshe,עבד-אלוהאב,Abdulwahab,,https://oknesset.org/static/img/Male_portrait_placeholder_cropped.jpg,2286,דראושה,עבד-אלוהב,251,זכר,,FALSE,3/20/2015 12:03,"[""עבד-אלוהאב דראושה"", ""עבד-אלוהב דראושה""]"
41,41,2,דרעי,Deri,אריה מכלוף,Aryeh Machluf,aderey@KNESSET.GOV.IL,https://oknesset.org/static/img/Male_portrait_placeholder_cropped.jpg,2291,דרעי,אריה מכלוף,251,זכר,aderey@knesset.gov.il,TRUE,3/12/2020 12:45,"[""אריה מכלוף דרעי""]"
42,42,,הירשזון,Hirchson,אברהם,Abraham,,https://oknesset.org/static/img/Male_portrait_placeholder_cropped.jpg,466,הירשזון,אברהם,251,זכר,,FALSE,3/20/2015 12:03,"[""אברהם הירשזון""]"
43,43,,הלפרט,Halpert,שמואל,Shmuel,,https://oknesset.org/static/img/Male_portrait_placeholder_cropped.jpg,527,הלפרט,שמואל,251,זכר,,FALSE,3/20/2015 12:03,"[""שמואל הלפרט""]"
44,44,,המר,Hammer,זבולון,Zevulon,,https://oknesset.org/static/img/Male_portrait_placeholder_cropped.jpg,2300,המר,זבולון,251,זכר,,FALSE,3/20/2015 12:03,"[""זבולון המר""]"
45,45,1,הנגבי,Hanegbi,צחי,Tzachi,tzhanegbi@knesset.gov.il,https://oknesset.org/static/img/Male_portrait_placeholder_cropped.jpg,467,הנגבי,צחי,251,זכר,tzhanegbi@knesset.gov.il,TRUE,3/12/2020 12:45,"[""צחי הנגבי""]"
46,46,,הנדל,Hendel,צבי,Zvi,,https://oknesset.org/static/img/Male_portrait_placeholder_cropped.jpg,412,הנדל,צבי,251,זכר,,FALSE,3/20/2015 12:03,"[""צבי הנדל""]"
47,47,,הראל,Harel,יהודה,Yehudah,,https://oknesset.org/static/img/Male_portrait_placeholder_cropped.jpg,2307,הראל,יהודה,251,זכר,,FALSE,3/20/2015 12:03,"[""יהודה הראל""]"
48,48,,ויינברג,Weinberg,צבי,Zvi,,https://oknesset.org/static/img/Male_portrait_placeholder_cropped.jpg,2315,ויינברג,צבי,251,זכר,,FALSE,3/20/2015 12:03,"[""צבי ויינברג""]"
49,49,,וייס,Weiss,שבח,Shevach,,https://oknesset.org/static/img/Male_portrait_placeholder_cropped.jpg,2317,וייס,שבח,251,זכר,,FALSE,3/20/2015 12:03,"[""שבח וייס""]"
50,50,,וקנין,Vaknin,יצחק,Yitzhak,,https://oknesset.org/static/img/Male_portrait_placeholder_cropped.jpg,488,וקנין,יצחק,251,זכר,,FALSE,6/4/2020 11:19,"[""יצחק וקנין""]"
51,51,,זאבי,Ze`evi,רחבעם,Rechavam,,https://oknesset.org/static/img/Male_portrait_placeholder_cropped.jpg,417,זאבי,רחבעם,251,זכר,,FALSE,3/20/2015 12:03,"[""רחבעם זאבי""]"
52,52,,זוילי,Zvili,נסים,Nissim,,https://oknesset.org/static/img/Male_portrait_placeholder_cropped.jpg,2331,זוילי,נסים,251,זכר,,FALSE,3/20/2015 12:03,"[""נסים זוילי""]"
53,53,,זיסמן,Zisman,עמנואל,Emanuel,,https://oknesset.org/static/img/Male_portrait_placeholder_cropped.jpg,2339,זיסמן,עמנואל,251,זכר,,FALSE,3/20/2015 12:03,"[""עמנואל זיסמן""]"
54,54,,זנדברג,Sandberg,אליעזר,Eliezer,,https://oknesset.org/static/img/Male_portrait_placeholder_cropped.jpg,567,זנדברג,אליעזר,251,זכר,,FALSE,3/20/2015 12:03,"[""אליעזר (מודי) זנדברג"" ,""אליעזר זנדברג""]"
55,55,,חאג` יחיא,Haj Yahia,רפיק,Rafik,,https://oknesset.org/static/img/Male_portrait_placeholder_cropped.jpg,2345,חג' יחיא,רפיק,251,זכר,,FALSE,3/20/2015 12:03,"[""רפיק חג' יחיא"", ""רפיק חאג` יחיא""]"
56,56,,חזן,Chazan,נעמי,Naomi,,https://oknesset.org/static/img/Female_portrait_placeholder_cropped.jpg,506,חזן,נעמי,250,נקבה,,FALSE,3/20/2015 12:03,"[""נעמי חזן""]"
57,57,,ח'טיב,Khatib,תאופיק,Tawfik,,https://oknesset.org/static/img/Male_portrait_placeholder_cropped.jpg,554,חטיב,תאופיק,251,זכר,,FALSE,3/20/2015 12:03,"[""תאופיק ח'טיב"", ""תאופיק חטיב""]"
58,58,,טל,Tal,דוד,David,,https://oknesset.org/static/img/Male_portrait_placeholder_cropped.jpg,493,טל,דוד,251,זכר,,FALSE,3/20/2015 12:03,"[""דוד טל""]"
59,59,,טריף,Tarif,סאלח,Saleh,,https://oknesset.org/static/img/Male_portrait_placeholder_cropped.jpg,442,טריף,סאלח,251,זכר,,FALSE,3/20/2015 12:03,"[""סאלח טריף""]"
60,60,,יהב,Yahav,יונה,Yona,,https://oknesset.org/static/img/Male_portrait_placeholder_cropped.jpg,2371,יהב,יונה,251,זכר,,FALSE,3/20/2015 12:03,"[""יונה יהב""]"
61,61,,יהלום,Yahalom,שאול,Shaul,,https://oknesset.org/static/img/Male_portrait_placeholder_cropped.jpg,524,יהלום,שאול,251,זכר,,FALSE,3/20/2015 12:03,"[""שאול יהלום""]"
62,62,,יחזקאל,Yechezkel,אברהם,Avraham,,https://oknesset.org/static/img/Male_portrait_placeholder_cropped.jpg,444,יחזקאל,אברהם,251,זכר,,FALSE,3/20/2015 12:03,"[""אבי יחזקאל"" ,""אברהם יחזקאל""]"
63,63,,ישי,Yishai,אליהו,Eliyahu,,https://oknesset.org/static/img/Male_portrait_placeholder_cropped.jpg,494,ישי,אליהו,251,זכר,,FALSE,5/27/2015 13:29,"[""אליהו ישי""]"
64,64,,כבל,Cabel,איתן,Eitan,,https://oknesset.org/static/img/Male_portrait_placeholder_cropped.jpg,445,כבל,איתן,251,זכר,,FALSE,5/14/2019 11:05,"[""איתן כבל"", ""כבל איתן""]"
65,65,1,כהן,Cohen,יצחק,Yitzhak,izchakec@KNESSET.GOV.IL,https://oknesset.org/static/img/Male_portrait_placeholder_cropped.jpg,580,כהן,יצחק,251,זכר,izchakec@knesset.gov.il,TRUE,3/12/2020 12:45,"[""יצחק כהן""]"
66,66,,כהן,Cohen,רן,Ran,,https://oknesset.org/static/img/Male_portrait_placeholder_cropped.jpg,507,כהן,רן,251,זכר,,FALSE,3/20/2015 12:03,"[""רן כהן""]"
67,67,,כהן,Cohen,רענן,Ra`anan,,https://oknesset.org/static/img/Male_portrait_placeholder_cropped.jpg,446,כהן,רענן,251,זכר,,FALSE,3/20/2015 12:03,"[""רענן כהן""]"
68,68,,כץ,Katz,יוסי,Yossi,,https://oknesset.org/static/img/Male_portrait_placeholder_cropped.jpg,447,כץ,יוסי,251,זכר,,FALSE,3/20/2015 12:03,"[""יוסי כץ,"" ,""יוסי כץ""]"
69,69,1,כץ,Katz,ישראל,Israel,yiskatz@KNESSET.GOV.IL,https://oknesset.org/static/img/Male_portrait_placeholder_cropped.jpg,468,כץ,ישראל,251,זכר,yiskatz@knesset.gov.il,TRUE,3/12/2020 12:45,"[""ישראל כץ""]"
70,70,,לבנת,Livnat,לימור,Limor,,https://oknesset.org/static/img/Female_portrait_placeholder_cropped.jpg,470,לבנת,לימור,250,נקבה,,FALSE,5/27/2015 13:22,"[""לימור לבנת""]"
71,71,,לובוצקי,Lubotzky,אלכסנדר,Alexander,,https://oknesset.org/static/img/Male_portrait_placeholder_cropped.jpg,2420,לובוצקי,אלכסנדר,251,זכר,,FALSE,3/20/2015 12:03,"[""אלכסנדר לובוצקי""]"
72,72,,לוי,Levy,דוד,David,,https://oknesset.org/static/img/Male_portrait_placeholder_cropped.jpg,536,לוי,דוד,251,זכר,,FALSE,3/20/2015 12:03,"[""דוד לוי""]"
73,73,,לוי,Levy,יצחק,Yitzhak,,https://oknesset.org/static/img/Male_portrait_placeholder_cropped.jpg,765,לוי,יצחק,251,זכר,,FALSE,3/20/2015 12:03,"[""יצחק לוי""]"
74,74,,לוי,Levy,מקסים,Maxim,,https://oknesset.org/static/img/Male_portrait_placeholder_cropped.jpg,537,לוי,מקסים,251,זכר,,FALSE,3/20/2015 12:03,"[""מקסים לוי""]"
